#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:48:33.951
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Math 1: Function: C1 - C2

#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-0.0025595703125,-0.237801238192424,-0.1855199383437205,-0.0522812998487035
-0.0025589453125,-0.237801238192424,-0.1972208042220915,-0.04058043397033251
-0.0025583203125,-0.2482419192140214,-0.2089216701004678,-0.03932024911355363
-0.0025576953125,-0.2691232812571879,-0.2206225359788335,-0.04850074527835438
-0.0025570703125,-0.2691232812571879,-0.2206225359788335,-0.04850074527835438
-0.0025564453125,-0.2795639622787758,-0.2323234018572045,-0.04724056042157135
-0.0025558203125,-0.3004453243219517,-0.2440242677355755,-0.05642105658637625
-0.0025551953125,-0.3004453243219517,-0.2440242677355755,-0.05642105658637625
-0.0025545703125,-0.3108860053435397,-0.2440242677355755,-0.06686173760796421
-0.0025539453125,-0.3213266863651323,-0.2557251336139518,-0.06560155275118056
-0.0025533203125,-0.3317673673867155,-0.2674259994923174,-0.06434136789439809
-0.0025526953125,-0.3422080484083083,-0.2674259994923281,-0.07478204891598016
-0.0025520703125,-0.3526487294298914,-0.2908277312490594,-0.06182099818083198
-0.0025514453125,-0.3630894104514794,-0.2908277312490594,-0.07226167920241994
-0.0025508203125,-0.3630894104514794,-0.3025285971274304,-0.06056081332404895
-0.0025501953125,-0.3839707724946552,-0.3142294630058013,-0.06974130948885388
-0.0025495703125,-0.3839707724946552,-0.3142294630058013,-0.06974130948885388
-0.0025489453125,-0.3944114535162432,-0.3142294630058013,-0.08018199051044184
-0.0025483203125,-0.4048521345378359,-0.3376311947625433,-0.06722093977529256
-0.0025476953125,-0.4152928155594191,-0.3376311947625433,-0.07766162079687577
-0.0025470703125,-0.4257334965810165,-0.3493320606409197,-0.07640143594009687
-0.0025464453125,-0.4466148586241829,-0.3610329265192853,-0.08558193210489762
-0.0025458203125,-0.4466148586241829,-0.3610329265192853,-0.08558193210489762
-0.0025451953125,-0.4570555396457661,-0.372733792397651,-0.0843217472481151
-0.0025445703125,-0.4674962206673588,-0.3844346582760273,-0.0830615623913315
-0.0025439453125,-0.4883775827105252,-0.396135524154393,-0.0922420585561322
-0.0025433203125,-0.4883775827105347,-0.3961355241543983,-0.09224205855613637
-0.0025426953125,-0.4988182637321321,-0.4078363900327746,-0.09098187369935747
-0.0025420703125,-0.5196996257752985,-0.4195372559111402,-0.1001623698641583
-0.0025414453125,-0.5196996257752985,-0.4195372559111402,-0.1001623698641583
-0.0025408203125,-0.5301403067968865,-0.4312381217895112,-0.0989021850073753
-0.0025401953125,-0.5405809878184744,-0.4429389876678822,-0.09764200015059221
-0.0025395703125,-0.5405809878184744,-0.4429389876678822,-0.09764200015059221
-0.0025389453125,-0.5510216688400623,-0.4546398535462532,-0.09638181529380913
-0.0025383203125,-0.5614623498616456,-0.4546398535462532,-0.1068224963153924
-0.0025376953125,-0.5614623498616503,-0.4546398535462532,-0.1068224963153971
-0.0025370703125,-0.5823437119048309,-0.4780415853029952,-0.1043021266018357
-0.0025364453125,-0.5927843929264142,-0.4780415853029952,-0.114742807623419
-0.0025358203125,-0.5927843929264142,-0.4897424511813662,-0.103041941745048
-0.0025351953125,-0.61366575496959,-0.5014433170597371,-0.1122224379098529
-0.0025345703125,-0.624106435991178,-0.5014433170597371,-0.1226631189314409
-0.0025339453125,-0.624106435991178,-0.5014433170597371,-0.1226631189314409
-0.0025333203125,-0.6345471170127659,-0.5131441829381082,-0.1214029340746577
-0.0025326953125,-0.6449877980343538,-0.5248450488164791,-0.1201427492178747
-0.0025320703125,-0.6449877980343538,-0.5248450488164791,-0.1201427492178747
-0.0025314453125,-0.6658691600775345,-0.5365459146948555,-0.129323245382679
-0.0025308203125,-0.6763098410991176,-0.5482467805732211,-0.1280630605258966
-0.0025301953125,-0.6763098410991176,-0.5482467805732211,-0.1280630605258966
-0.0025295703125,-0.6867505221207056,-0.559947646451592,-0.1268028756691136
-0.0025289453125,-0.6971912031422935,-0.5716485123299631,-0.1255426908123305
-0.0025283203125,-0.7076318841638767,-0.5716485123299631,-0.1359833718339137
-0.0025276953125,-0.7180725651854695,-0.583349378208334,-0.1347231869771355
-0.0025270703125,-0.7285132462070574,-0.595050244086705,-0.1334630021203523
-0.0025264453125,-0.7285132462070574,-0.595050244086705,-0.1334630021203523
-0.0025258203125,-0.7493946082502381,-0.6067511099650813,-0.1426434982851567
-0.0025251953125,-0.7598352892718212,-0.618451975843447,-0.1413833134283742
-0.0025245703125,-0.7702759702934091,-0.618451975843447,-0.1518239944499621
-0.0025239453125,-0.7807166513149923,-0.6418537076001782,-0.1388629437148141
-0.0025233203125,-0.791157332336585,-0.6535545734785599,-0.1376027588580251
-0.0025226953125,-0.8015980133581682,-0.6535545734785599,-0.1480434398796082
-0.0025220703125,-0.8015980133581729,-0.6652554393569309,-0.1363425740012421
-0.0025214453125,-0.8224793754013536,-0.6769563052353019,-0.1455230701660517
-0.0025208203125,-0.8329200564229369,-0.6769563052353019,-0.1559637511876349
-0.0025201953125,-0.8329200564229369,-0.6886571711136729,-0.144262885309264
-0.0025195703125,-0.8538014184661127,-0.7003580369920439,-0.1534433814740688
-0.0025189453125,-0.8642420994877007,-0.7120589028704148,-0.1521831966172859
-0.0025183203125,-0.8746827805092838,-0.7120589028704148,-0.162623877638869
-0.0025176953125,-0.8851234615308765,-0.7237597687487859,-0.1613636927820906
-0.0025170703125,-0.8851234615308765,-0.7237597687487859,-0.1613636927820906
-0.0025164453125,-0.8955641425524645,-0.7354606346271568,-0.1601035079253077
-0.0025158203125,-0.9060048235740572,-0.7471615005055278,-0.1588433230685294
-0.0025151953125,-0.9164455045956403,-0.7471615005055278,-0.1692840040901126
-0.0025145703125,-0.9164455045956403,-0.7471615005055278,-0.1692840040901126
-0.0025139453125,-0.9373268666388163,-0.7588623663838988,-0.1784645002549174
-0.0025133203125,-0.9373268666388163,-0.7705632322622697,-0.1667636343765465
-0.0025126953125,-0.9477675476603994,-0.7705632322622697,-0.1772043153981297
-0.0025120703125,-0.9582082286819922,-0.7822640981406408,-0.1759441305413514
-0.0025114453125,-0.9686489097035849,-0.7939649640190117,-0.1746839456845731
-0.0025108203125,-0.979089590725168,-0.7939649640190117,-0.1851246267061563
-0.0025101953125,-0.9895302717467608,-0.8056658298973881,-0.1838644418493726
-0.0025095703125,-0.9999709527683438,-0.8173666957757537,-0.1826042569925901
-0.0025089453125,-1.010411633789932,-0.8173666957757537,-0.1930449380141781
-0.0025083203125,-1.02085231481152,-0.8290675616541248,-0.1917847531573951
-0.0025076953125,-1.031292995833108,-0.8407684275324957,-0.1905245683006122
-0.0025070703125,-1.031292995833108,-0.8407684275324957,-0.1905245683006122
-0.0025064453125,-1.041733676854696,-0.8524692934108666,-0.189264383443829
-0.0025058203125,-1.062615038897872,-0.8641701592892377,-0.198444879608634
-0.0025051953125,-1.062615038897872,-0.8641701592892377,-0.198444879608634
-0.0025045703125,-1.073055719919464,-0.8758710251676139,-0.1971846947518503
-0.0025039453125,-1.083496400941047,-0.8875718910459797,-0.1959245098950678
-0.0025033203125,-1.083496400941047,-0.8875718910459797,-0.1959245098950678
-0.0025026953125,-1.104377762984223,-0.8992727569243506,-0.2051050060598727
-0.0025020703125,-1.114818444005811,-0.9109736228027216,-0.2038448212030897
-0.0025014453125,-1.114818444005811,-0.9109736228027216,-0.2038448212030897
-0.0025008203125,-1.125259125027399,-0.9226744886810926,-0.2025846363463067
-0.0025001953125,-1.135699806048992,-0.9343753545594635,-0.2013244514895283
-0.0024995703125,-1.146140487070575,-0.9343753545594635,-0.2117651325111116
-0.0024989453125,-1.156581168092163,-0.9460762204378346,-0.2105049476543286
-0.0024983203125,-1.167021849113751,-0.9577770863162055,-0.2092447627975454
-0.0024976953125,-1.167021849113751,-0.9577770863162055,-0.2092447627975454
-0.0024970703125,-1.177462530135334,-0.9694779521945712,-0.207984577940763
-0.0024964453125,-1.198343892178515,-0.9694779521945766,-0.2288659399839382
-0.0024958203125,-1.187903211156932,-0.9811788180729422,-0.2067243930839896
-0.0024951953125,-1.198343892178515,-0.9811788180729475,-0.2171650741055673
-0.0024945703125,-1.208784573200103,-0.9928796839513185,-0.2159048892487843
-0.0024939453125,-1.208784573200103,-0.9928796839513185,-0.2159048892487843
-0.0024933203125,-1.219225254221691,-0.9928796839513185,-0.2263455702703723
-0.0024926953125,-1.219225254221691,-0.9928796839513185,-0.2263455702703723
-0.0024920703125,-1.219225254221691,-1.00458054982969,-0.2146447043920012
-0.0024914453125,-1.229665935243274,-1.00458054982969,-0.2250853854135843
-0.0024908203125,-1.240106616264867,-1.01628141570806,-0.2238252005568062
-0.0024901953125,-1.250547297286459,-1.016281415708066,-0.2342658815783936
-0.0024895703125,-1.260987978308042,-1.027982281586431,-0.233005696721611
-0.0024889453125,-1.27142865932963,-1.039683147464803,-0.2317455118648279
-0.0024883203125,-1.27142865932963,-1.039683147464803,-0.2317455118648279
-0.0024876953125,-1.281869340351218,-1.051384013343173,-0.2304853270080451
-0.0024870703125,-1.292310021372806,-1.051384013343173,-0.2409260080296329
-0.0024864453125,-1.302750702394394,-1.051384013343173,-0.2513666890512209
-0.0024858203125,-1.323632064437561,-1.074785745099905,-0.2488463193376558
-0.0024851953125,-1.32363206443757,-1.086486610978286,-0.2371454534592836
-0.0024845703125,-1.334072745459163,-1.086486610978292,-0.2475861344808711
-0.0024839453125,-1.344513426480746,-1.098187476856657,-0.2463259496240888
-0.0024833203125,-1.365394788523922,-1.109888342735028,-0.2555064457888936
-0.0024826953125,-1.365394788523922,-1.109888342735028,-0.2555064457888936
-0.0024820703125,-1.37583546954551,-1.121589208613399,-0.2542462609321106
-0.0024814453125,-1.386276150567098,-1.13329007449177,-0.2529860760753275
-0.0024808203125,-1.396716831588686,-1.13329007449177,-0.2634267570969155
-0.0024801953125,-1.407157512610269,-1.144990940370136,-0.2621665722401331
-0.0024795703125,-1.407157512610274,-1.156691806248512,-0.2504657063617615
-0.0024789453125,-1.417598193631866,-1.156691806248512,-0.260906387383354
-0.0024783203125,-1.42803887465345,-1.156691806248512,-0.2713470684049373
-0.0024776953125,-1.438479555675038,-1.180093538005254,-0.2583860176697834
-0.0024770703125,-1.438479555675038,-1.180093538005254,-0.2583860176697834
-0.0024764453125,-1.448920236696625,-1.180093538005254,-0.2688266986913712
-0.0024758203125,-1.469801598739792,-1.19179440388362,-0.278007194856172
-0.0024751953125,-1.469801598739801,-1.191794403883625,-0.2780071948561762
-0.0024745703125,-1.480242279761385,-1.203495269761991,-0.2767470099993935
-0.0024739453125,-1.480242279761389,-1.215196135640367,-0.2650461441210221
-0.0024733203125,-1.490682960782982,-1.226897001518738,-0.2637859592642439
-0.0024726953125,-1.501123641804565,-1.226897001518738,-0.2742266402858271
-0.0024720703125,-1.511564322826153,-1.238597867397109,-0.2729664554290439
-0.0024714453125,-1.522005003847741,-1.238597867397109,-0.2834071364506319
-0.0024708203125,-1.522005003847741,-1.238597867397109,-0.2834071364506319
-0.0024701953125,-1.532445684869324,-1.250298733275475,-0.2821469515938494
-0.0024695703125,-1.532445684869329,-1.25029873327548,-0.2821469515938488
-0.0024689453125,-1.542886365890912,-1.261999599153846,-0.2808867667370664
-0.0024683203125,-1.553327046912505,-1.273700465032222,-0.2796265818802828
-0.0024676953125,-1.563767727934093,-1.273700465032222,-0.2900672629018708
-0.0024670703125,-1.563767727934093,-1.273700465032222,-0.2900672629018708
-0.0024664453125,-1.574208408955681,-1.285401330910593,-0.2888070780450875
-0.0024658203125,-1.584649089977269,-1.297102196788964,-0.2875468931883047
-0.0024651953125,-1.595089770998857,-1.297102196788964,-0.2979875742098927
-0.0024645703125,-1.60553045202044,-1.30880306266733,-0.29672738935311
-0.0024639453125,-1.605530452020445,-1.320503928545706,-0.2850265234747384
-0.0024633203125,-1.615971133042042,-1.320503928545711,-0.2954672044963306
-0.0024626953125,-1.636852495085208,-1.332204794424077,-0.3046477006611312
-0.0024620703125,-1.636852495085213,-1.343905660302448,-0.2929468347827652
-0.0024614453125,-1.647293176106796,-1.343905660302448,-0.3033875158043484
-0.0024608203125,-1.657733857128384,-1.355606526180819,-0.3021273309475654
-0.0024601953125,-1.668174538149972,-1.355606526180819,-0.3125680119691534
-0.0024595703125,-1.668174538149972,-1.36730739205919,-0.3008671460907824
-0.0024589453125,-1.678615219171556,-1.379008257937556,-0.2996069612339997
-0.0024583203125,-1.689055900193148,-1.379008257937561,-0.3100476422555871
-0.0024576953125,-1.689055900193153,-1.379008257937566,-0.3100476422555866
-0.0024570703125,-1.699496581214736,-1.390709123815932,-0.3087874573988043
-0.0024564453125,-1.699496581214736,-1.390709123815932,-0.3087874573988043
-0.0024558203125,-1.699496581214736,-1.390709123815932,-0.3087874573988043
-0.0024551953125,-1.709937262236324,-1.402409989694303,-0.3075272725420211
-0.0024545703125,-1.720377943257907,-1.402409989694303,-0.3179679535636043
-0.0024539453125,-1.720377943257912,-1.402409989694303,-0.3179679535636091
-0.0024533203125,-1.730818624279495,-1.414110855572669,-0.3167077687068266
-0.0024526953125,-1.741259305301088,-1.425811721451045,-0.315447583850043
-0.0024520703125,-1.751699986322681,-1.42581172145105,-0.3258882648716305
-0.0024514453125,-1.762140667344264,-1.437512587329416,-0.324628080014848
-0.0024508203125,-1.762140667344264,-1.437512587329416,-0.324628080014848
-0.0024501953125,-1.772581348365852,-1.449213453207787,-0.3233678951580647
-0.0024495703125,-1.78302202938744,-1.460914319086158,-0.3221077103012817
-0.0024489453125,-1.78302202938744,-1.460914319086158,-0.3221077103012817
-0.0024483203125,-1.793462710409028,-1.460914319086158,-0.3325483913228697
-0.0024476953125,-1.793462710409028,-1.472615184964523,-0.3208475254445042
-0.0024470703125,-1.803903391430616,-1.472615184964529,-0.3312882064660867
-0.0024464453125,-1.814344072452204,-1.4843160508429,-0.3300280216093037
-0.0024458203125,-1.814344072452204,-1.4843160508429,-0.3300280216093037
-0.0024451953125,-1.824784753473792,-1.4843160508429,-0.3404687026308917
-0.0024445703125,-1.824784753473792,-1.4843160508429,-0.3404687026308917
-0.0024439453125,-1.835225434495379,-1.496016916721271,-0.3392085177741084
-0.0024433203125,-1.845666115516963,-1.507717782599636,-0.3379483329173262
-0.0024426953125,-1.835225434495379,-1.507717782599642,-0.3275076518957376
-0.0024420703125,-1.845666115516972,-1.507717782599642,-0.3379483329173304
-0.0024414453125,-1.856106796538555,-1.507717782599642,-0.3483890139389136
-0.0024408203125,-1.85610679653856,-1.519418648478013,-0.3366881480605474
-0.0024401953125,-1.866547477560143,-1.519418648478013,-0.3471288290821304
-0.0024395703125,-1.866547477560143,-1.531119514356384,-0.3354279632037593
-0.0024389453125,-1.876988158581731,-1.531119514356384,-0.3458686442253474
-0.0024383203125,-1.876988158581731,-1.542820380234755,-0.3341677783469763
-0.0024376953125,-1.887428839603315,-1.542820380234755,-0.3446084593685595
-0.0024370703125,-1.897869520624907,-1.554521246113126,-0.3433482745117813
-0.0024364453125,-1.897869520624912,-1.554521246113131,-0.3433482745117807
-0.0024358203125,-1.908310201646495,-1.566222111991497,-0.3420880896549983
-0.0024351953125,-1.918750882668083,-1.566222111991502,-0.3525287706765809
-0.0024345703125,-1.918750882668083,-1.577922977869868,-0.3408279047982152
-0.0024339453125,-1.929191563689671,-1.577922977869868,-0.351268585819803
-0.0024333203125,-1.939632244711254,-1.589623843748233,-0.3500084009630208
-0.0024326953125,-1.939632244711259,-1.577922977869868,-0.361709266841391
-0.0024320703125,-1.950072925732842,-1.589623843748233,-0.3604490819846088
-0.0024314453125,-1.950072925732847,-1.60132470962661,-0.3487482161062372
-0.0024308203125,-1.950072925732852,-1.60132470962661,-0.348748216106242
-0.0024301953125,-1.960513606754435,-1.60132470962661,-0.359188897127825
-0.0024295703125,-1.970954287776023,-1.613025575504981,-0.3579287122710419
-0.0024289453125,-1.970954287776023,-1.613025575504981,-0.3579287122710419
-0.0024283203125,-1.991835649819198,-1.624726441383352,-0.3671092084358467
-0.0024276953125,-1.991835649819198,-1.624726441383352,-0.3671092084358467
-0.0024270703125,-2.002276330840786,-1.636427307261723,-0.3658490235790639
-0.0024264453125,-2.002276330840786,-1.636427307261723,-0.3658490235790639
-0.0024258203125,-2.012717011862375,-1.648128173140094,-0.3645888387222809
-0.0024251953125,-2.012717011862379,-1.648128173140099,-0.3645888387222803
-0.0024245703125,-2.023157692883963,-1.659829039018465,-0.3633286538654978
-0.0024239453125,-2.023157692883963,-1.659829039018465,-0.3633286538654978
-0.0024233203125,-2.033598373905551,-1.659829039018465,-0.3737693348870859
-0.0024226953125,-2.044039054927139,-1.671529904896836,-0.3725091500303028
-0.0024220703125,-2.044039054927139,-1.671529904896836,-0.3725091500303028
-0.0024214453125,-2.044039054927139,-1.683230770775207,-0.360808284151932
-0.0024208203125,-2.054479735948731,-1.683230770775207,-0.3712489651735248
-0.0024201953125,-2.064920416970315,-1.683230770775207,-0.381689646195108
-0.0024195703125,-2.064920416970315,-1.683230770775212,-0.3816896461951027
-0.0024189453125,-2.064920416970315,-1.694931636653578,-0.369988780316737
-0.0024183203125,-2.075361097991902,-1.694931636653578,-0.3804294613383246
-0.0024176953125,-2.075361097991902,-1.694931636653578,-0.3804294613383246
-0.0024170703125,-2.08580177901349,-1.706632502531949,-0.3791692764815415
-0.0024164453125,-2.08580177901349,-1.706632502531949,-0.3791692764815415
-0.0024158203125,-2.096242460035078,-1.706632502531949,-0.3896099575031295
-0.0024151953125,-2.096242460035083,-1.718333368410319,-0.3779090916247635
-0.0024145703125,-2.106683141056666,-1.718333368410319,-0.3883497726463467
-0.0024139453125,-2.106683141056671,-1.718333368410325,-0.3883497726463462
-0.0024133203125,-2.117123822078254,-1.730034234288691,-0.3870895877895637
-0.0024126953125,-2.117123822078254,-1.730034234288691,-0.3870895877895637
-0.0024120703125,-2.127564503099837,-1.741735100167056,-0.3858294029327812
-0.0024114453125,-2.127564503099842,-1.741735100167062,-0.3858294029327807
-0.0024108203125,-2.148445865143009,-1.753435966045427,-0.3950098990975811
-0.0024101953125,-2.13800518412143,-1.753435966045433,-0.3845692180759972
-0.0024095703125,-2.148445865143018,-1.753435966045438,-0.3950098990975799
-0.0024089453125,-2.148445865143018,-1.765136831923803,-0.3833090332192144
-0.0024083203125,-2.158886546164606,-1.765136831923803,-0.3937497142408024
-0.0024076953125,-2.158886546164606,-1.765136831923803,-0.3937497142408024
-0.0024070703125,-2.169327227186194,-1.776837697802174,-0.3924895293840194
-0.0024064453125,-2.169327227186194,-1.776837697802174,-0.3924895293840194
-0.0024058203125,-2.179767908207782,-1.776837697802174,-0.4029302104056074
-0.0024051953125,-2.190208589229365,-1.78853856368054,-0.4016700255488249
