#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151A2B6A6
#Date Time: 2024-05-23 17:46:07.209
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 50 Hz
#Amplitude: 500 mV
#Offset: 500 mV
#Symmetry: 50 %
#Phase: 0 ¡Æ

Time (s),Channel 1 (V),Channel 2 (V)
-0.0255954,-0.00618497,0.0447123
-0.0255892,-0.0110185,0.0447123
-0.0255829,-0.00618497,0.0447123
-0.0255767,-0.00618497,0.0447123
-0.0255704,-0.00618497,0.0447123
-0.0255642,-0.00618497,0.0447123
-0.0255579,-0.00618497,0.0447123
-0.0255517,-0.0110185,0.0447123
-0.0255454,-0.00618497,0.0447123
-0.0255392,-0.00618497,0.0447123
-0.0255329,-0.0110185,0.0399101
-0.0255267,-0.00618497,0.0447123
-0.0255204,-0.0110185,0.0399101
-0.0255142,-0.00618497,0.0447123
-0.0255079,-0.00618497,0.0447123
-0.0255017,-0.0110185,0.0399101
-0.0254954,-0.00618497,0.0399101
-0.0254892,-0.0110185,0.0399101
-0.0254829,-0.0110185,0.0399101
-0.0254767,-0.00618497,0.0447123
-0.0254704,-0.00618497,0.0399101
-0.0254642,-0.0110185,0.0399101
-0.0254579,-0.00618497,0.0399101
-0.0254517,-0.00618497,0.0399101
-0.0254454,-0.00618497,0.0399101
-0.0254392,-0.00618497,0.0399101
-0.0254329,-0.00618497,0.0399101
-0.0254267,-0.0110185,0.0399101
-0.0254204,-0.0110185,0.0399101
-0.0254142,-0.0110185,0.035108
-0.0254079,-0.00618497,0.0399101
-0.0254017,-0.0110185,0.0399101
-0.0253954,-0.0110185,0.035108
-0.0253892,-0.00618497,0.0399101
-0.0253829,-0.00618497,0.0399101
-0.0253767,-0.00618497,0.0399101
-0.0253704,-0.0110185,0.0399101
-0.0253642,-0.0110185,0.035108
-0.0253579,-0.0110185,0.035108
-0.0253517,-0.00618497,0.0399101
-0.0253454,-0.00618497,0.0399101
-0.0253392,-0.00618497,0.0399101
-0.0253329,-0.00618497,0.0399101
-0.0253267,-0.0110185,0.035108
-0.0253204,-0.0110185,0.035108
-0.0253142,-0.0110185,0.035108
-0.0253079,-0.0110185,0.035108
-0.0253017,-0.00618497,0.0399101
-0.0252954,-0.00618497,0.0399101
-0.0252892,-0.00618497,0.035108
-0.0252829,-0.0110185,0.035108
-0.0252767,-0.00618497,0.035108
-0.0252704,-0.0110185,0.035108
-0.0252642,-0.00618497,0.035108
-0.0252579,-0.00618497,0.035108
-0.0252517,-0.0110185,0.035108
-0.0252454,-0.0110185,0.035108
-0.0252392,-0.0110185,0.035108
-0.0252329,-0.00618497,0.035108
-0.0252267,-0.00618497,0.035108
-0.0252204,-0.0110185,0.035108
-0.0252142,-0.0110185,0.0303059
-0.0252079,-0.00618497,0.035108
-0.0252017,-0.00618497,0.035108
-0.0251954,-0.00618497,0.035108
-0.0251892,-0.00618497,0.035108
-0.0251829,-0.0110185,0.0303059
-0.0251767,-0.0110185,0.0303059
-0.0251704,-0.00618497,0.035108
-0.0251642,-0.0110185,0.035108
-0.0251579,-0.0110185,0.0303059
-0.0251517,-0.0110185,0.0303059
-0.0251454,-0.0110185,0.0303059
-0.0251392,-0.00618497,0.035108
-0.0251329,-0.00618497,0.035108
-0.0251267,-0.0110185,0.0303059
-0.0251204,-0.00618497,0.035108
-0.0251142,-0.00618497,0.0303059
-0.0251079,-0.0110185,0.0303059
-0.0251017,-0.00618497,0.0303059
-0.0250954,-0.00618497,0.0303059
-0.0250892,-0.0110185,0.0303059
-0.0250829,-0.00618497,0.0303059
-0.0250767,-0.0110185,0.0303059
-0.0250704,-0.0110185,0.0303059
-0.0250642,-0.00618497,0.0303059
-0.0250579,-0.00618497,0.0303059
-0.0250517,-0.00618497,0.0303059
-0.0250454,-0.00618497,0.0303059
-0.0250392,-0.0110185,0.0303059
-0.0250329,-0.00618497,0.0303059
-0.0250267,-0.00618497,0.0303059
-0.0250204,-0.0110185,0.0303059
-0.0250142,-0.00618497,0.0303059
-0.0250079,-0.0110185,0.0303059
-0.0250017,-0.0110185,0.0303059
-0.0249954,-0.00618497,0.0303059
-0.0249892,-0.0110185,0.0303059
-0.0249829,-0.0110185,0.0255038
-0.0249767,-0.00618497,0.0303059
-0.0249704,-0.0110185,0.0255038
-0.0249642,-0.0110185,0.0255038
-0.0249579,-0.00618497,0.0303059
-0.0249517,-0.00618497,0.0303059
-0.0249454,-0.00618497,0.0303059
-0.0249392,-0.00618497,0.0303059
-0.0249329,-0.00618497,0.0303059
-0.0249267,-0.00618497,0.0303059
-0.0249204,-0.00618497,0.0303059
-0.0249142,-0.0110185,0.0255038
-0.0249079,-0.00618497,0.0303059
-0.0249017,-0.00618497,0.0303059
-0.0248954,-0.00618497,0.0303059
-0.0248892,-0.00618497,0.0303059
-0.0248829,-0.00618497,0.0255038
-0.0248767,-0.0110185,0.0255038
-0.0248704,-0.00618497,0.0255038
-0.0248642,-0.00618497,0.0255038
-0.0248579,-0.0110185,0.0255038
-0.0248517,-0.00618497,0.0255038
-0.0248454,-0.0110185,0.0255038
-0.0248392,-0.0110185,0.0255038
-0.0248329,-0.0110185,0.0255038
-0.0248267,-0.0110185,0.0207016
-0.0248204,-0.0110185,0.0255038
-0.0248142,-0.00618497,0.0255038
-0.0248079,-0.0110185,0.0255038
-0.0248017,-0.0110185,0.0255038
-0.0247954,-0.0110185,0.0255038
-0.0247892,-0.0110185,0.0255038
-0.0247829,-0.00618497,0.0255038
-0.0247767,-0.00618497,0.0255038
-0.0247704,-0.00618497,0.0255038
-0.0247642,-0.00618497,0.0255038
-0.0247579,-0.00618497,0.0255038
-0.0247517,-0.0110185,0.0255038
-0.0247454,-0.0110185,0.0255038
-0.0247392,-0.00618497,0.0255038
-0.0247329,-0.0110185,0.0207016
-0.0247267,-0.00618497,0.0255038
-0.0247204,-0.00618497,0.0255038
-0.0247142,-0.00618497,0.0255038
-0.0247079,-0.00618497,0.0255038
-0.0247017,-0.0110185,0.0207016
-0.0246954,-0.0110185,0.0207016
-0.0246892,-0.00618497,0.0255038
-0.0246829,-0.0110185,0.0207016
-0.0246767,-0.00618497,0.0255038
-0.0246704,-0.00618497,0.0255038
-0.0246642,-0.00618497,0.0255038
-0.0246579,-0.00618497,0.0255038
-0.0246517,-0.00618497,0.0255038
-0.0246454,-0.00618497,0.0255038
-0.0246392,-0.00618497,0.0255038
-0.0246329,-0.00618497,0.0255038
-0.0246267,-0.0110185,0.0207016
-0.0246204,-0.00618497,0.0207016
-0.0246142,-0.0110185,0.0207016
-0.0246079,-0.0110185,0.0207016
-0.0246017,-0.0110185,0.0207016
-0.0245954,-0.0110185,0.0207016
-0.0245892,-0.00618497,0.0255038
-0.0245829,-0.00618497,0.0255038
-0.0245767,-0.00618497,0.0207016
-0.0245704,-0.00618497,0.0207016
-0.0245642,-0.00618497,0.0207016
-0.0245579,-0.0110185,0.0207016
-0.0245517,-0.0110185,0.0207016
-0.0245454,-0.00618497,0.0207016
-0.0245392,-0.0110185,0.0207016
-0.0245329,-0.0110185,0.0207016
-0.0245267,-0.00618497,0.0207016
-0.0245204,-0.0110185,0.0207016
-0.0245142,-0.00618497,0.0207016
-0.0245079,-0.00618497,0.0207016
-0.0245017,-0.0110185,0.0207016
-0.0244954,-0.0110185,0.0207016
-0.0244892,-0.0110185,0.0207016
-0.0244829,-0.0110185,0.0207016
-0.0244767,-0.00618497,0.0207016
-0.0244704,-0.00618497,0.0207016
-0.0244642,-0.00618497,0.0207016
-0.0244579,-0.00618497,0.0207016
-0.0244517,-0.0110185,0.0207016
-0.0244454,-0.00618497,0.0207016
-0.0244392,-0.0110185,0.0207016
-0.0244329,-0.0110185,0.0207016
-0.0244267,-0.00618497,0.0207016
-0.0244204,-0.00618497,0.0207016
-0.0244142,-0.00618497,0.0207016
-0.0244079,-0.00618497,0.0207016
-0.0244017,-0.00618497,0.0207016
-0.0243954,-0.00618497,0.0207016
-0.0243892,-0.00618497,0.0207016
-0.0243829,-0.0110185,0.0207016
-0.0243767,-0.0110185,0.0158995
-0.0243704,-0.0110185,0.0158995
-0.0243642,-0.0110185,0.0207016
-0.0243579,-0.00618497,0.0158995
-0.0243517,-0.00618497,0.0207016
-0.0243454,-0.0110185,0.0207016
-0.0243392,-0.0110185,0.0158995
-0.0243329,-0.00618497,0.0207016
-0.0243267,-0.0110185,0.0158995
-0.0243204,-0.0110185,0.0158995
-0.0243142,-0.00618497,0.0207016
-0.0243079,-0.00618497,0.0158995
-0.0243017,-0.00618497,0.0207016
-0.0242954,-0.00618497,0.0158995
-0.0242892,-0.0110185,0.0158995
-0.0242829,-0.0110185,0.0158995
-0.0242767,-0.0110185,0.0158995
-0.0242704,-0.0110185,0.0158995
-0.0242642,-0.00618497,0.0207016
-0.0242579,-0.00618497,0.0207016
-0.0242517,-0.0110185,0.0158995
-0.0242454,-0.0110185,0.0158995
-0.0242392,-0.0110185,0.0158995
-0.0242329,-0.0110185,0.0158995
-0.0242267,-0.0110185,0.0158995
-0.0242204,-0.0110185,0.0158995
-0.0242142,-0.00618497,0.0158995
-0.0242079,-0.00618497,0.0207016
-0.0242017,-0.0110185,0.0158995
-0.0241954,-0.0110185,0.0158995
-0.0241892,-0.00618497,0.0158995
-0.0241829,-0.0110185,0.0158995
-0.0241767,-0.00618497,0.0158995
-0.0241704,-0.00618497,0.0207016
-0.0241642,-0.00618497,0.0158995
-0.0241579,-0.00618497,0.0158995
-0.0241517,-0.0110185,0.0158995
-0.0241454,-0.0110185,0.0158995
-0.0241392,-0.00618497,0.0158995
-0.0241329,-0.0110185,0.0158995
-0.0241267,-0.0110185,0.0158995
-0.0241204,-0.00618497,0.0158995
-0.0241142,-0.0110185,0.0158995
-0.0241079,-0.0110185,0.0110974
-0.0241017,-0.00618497,0.0158995
-0.0240954,-0.00618497,0.0158995
-0.0240892,-0.00618497,0.0158995
-0.0240829,-0.00618497,0.0158995
-0.0240767,-0.0110185,0.0158995
-0.0240704,-0.0110185,0.0158995
-0.0240642,-0.00618497,0.0158995
-0.0240579,-0.0110185,0.0158995
-0.0240517,-0.0110185,0.0158995
-0.0240454,-0.00618497,0.0158995
-0.0240392,-0.0110185,0.0110974
-0.0240329,-0.0110185,0.0158995
-0.0240267,-0.0110185,0.0158995
-0.0240204,-0.0110185,0.0158995
-0.0240142,-0.00618497,0.0158995
-0.0240079,-0.0110185,0.0158995
-0.0240017,-0.0110185,0.0158995
-0.0239954,-0.00618497,0.0158995
-0.0239892,-0.0110185,0.0158995
-0.0239829,-0.0110185,0.0158995
-0.0239767,-0.0110185,0.0158995
-0.0239704,-0.0110185,0.0110974
-0.0239642,-0.0110185,0.0158995
-0.0239579,-0.0110185,0.0158995
-0.0239517,-0.0110185,0.0110974
-0.0239454,-0.0110185,0.0110974
-0.0239392,-0.00618497,0.0158995
-0.0239329,-0.0110185,0.0158995
-0.0239267,-0.00618497,0.0158995
-0.0239204,-0.00618497,0.0110974
-0.0239142,-0.0110185,0.0110974
-0.0239079,-0.0110185,0.0110974
-0.0239017,-0.0110185,0.0110974
-0.0238954,-0.0110185,0.0110974
-0.0238892,-0.00618497,0.0158995
-0.0238829,-0.0110185,0.0110974
-0.0238767,-0.0110185,0.0110974
-0.0238704,-0.00618497,0.0110974
-0.0238642,-0.0110185,0.0110974
-0.0238579,-0.00618497,0.0158995
-0.0238517,-0.00618497,0.0158995
-0.0238454,-0.0110185,0.0110974
-0.0238392,-0.0110185,0.0110974
-0.0238329,-0.0110185,0.0110974
-0.0238267,-0.0110185,0.0110974
-0.0238204,-0.0110185,0.0110974
-0.0238142,-0.00618497,0.0158995
-0.0238079,-0.0110185,0.0110974
-0.0238017,-0.0110185,0.0110974
-0.0237954,-0.0110185,0.0110974
-0.0237892,-0.0110185,0.0110974
-0.0237829,-0.00618497,0.0158995
-0.0237767,-0.00618497,0.0110974
-0.0237704,-0.00618497,0.0110974
-0.0237642,-0.00618497,0.0110974
-0.0237579,-0.0110185,0.0110974
-0.0237517,-0.0110185,0.0110974
-0.0237454,-0.00618497,0.0110974
-0.0237392,-0.00618497,0.0110974
-0.0237329,-0.0110185,0.0110974
-0.0237267,-0.00618497,0.0110974
-0.0237204,-0.0110185,0.0110974
-0.0237142,-0.0110185,0.0110974
-0.0237079,-0.0110185,0.0110974
